city,area,profession,professionName,experience,education,wageStart,wageEnd,companyName,companyType,companySize,industry,tags,welfare,url,submitTime
北京,海运仓,前端工程师,Web前端开发工程师,1-3年,本科,15,20,everbridge,上市公司,500-2000人,软件服务、咨询,React native,“弹性工作制、上市外企、六险一金、美国交流”,https://www.lagou.com/jobs/4002791.html?show=3643c2f146f54d7b861ea97e3eb4098a,5/21/2021
北京,海淀区,前端工程师,前端工程师,3-5年,本科,20,40,字节跳动,D轮及以上,2000人以上,内容资讯、短视频,IT支持,“晋升空间”,https://www.lagou.com/jobs/7912153.html?show=3643c2f146f54d7b861ea97e3eb4098a,5/21/2021
北京,望京,前端工程师,web前端开发工程师,1-3年,本科,12,24,Castbox,B轮,50-150人,音频、视频媒体,React native,“免费三餐、弹性时间、扁平管理”,https://www.lagou.com/jobs/5876782.html?show=3643c2f146f54d7b861ea97e3eb4098a,5/21/2021
北京,东城区,前端工程师,web前端开发工程师,3-5年,本科,13,18,北京亚格斯科技发展有...,B轮,50-150人,软件开发,金融业,“..…”,https://www.lagou.com/jobs/8709151.html?show=3643c2f146f54d7b861ea97e3eb4098a,5/21/2021
北京,东四,前端工程师,前端开发工程师（echarts方向）,3-5年,本科,12,20,国研网,上市公司,150-500人,人工智能服务、数据服务、咨询,HTML5; Javascript,“大型国企、六险一金、员工旅游、超长年假”,https://www.lagou.com/jobs/6248512.html?show=3643c2f146f54d7b861ea97e3eb4098a,5/21/2021
北京,大兴区,前端工程师,高级前端工程师,5-10年,本科,25,40,中企动力,上市公司,2000人以上,营销服务、咨询、软件服务、咨询,电商平台; 前端开发; Web前端; Vue,“空间大”,https://www.lagou.com/jobs/8443379.html?show=3643c2f146f54d7b861ea97e3eb4098a,5/21/2021
北京,朝阳区,前端工程师,美团优选-web前端开发工程师,1-3年,本科,20,40,美团,上市公司,2000人以上,消费生活,技能培训;     绩效奖金;     岗位晋升;     领导好,“火箭型业务”,https://www.lagou.com/jobs/7661253.html?show=3643c2f146f54d7b861ea97e3eb4098a,5/21/2021
北京,朝阳区,前端工程师,美团优选-web高级前端开发工程师,1-3年,本科,20,40,美团,上市公司,2000人以上,消费生活,技能培训;     绩效奖金;     岗位晋升;     领导好,“美团旗舰业务线”,https://www.lagou.com/jobs/7772343.html?show=3643c2f146f54d7b861ea97e3eb4098a,5/21/2021
北京,海淀区,前端工程师,web前端开发工程师,1-3年,本科,10,20,金山办公软件,上市公司,2000人以上,工具类产品、软件服务、咨询,工具类产品; 软件服务、咨询; 移动端; Angularjs; Node.js,“六险一金；节假日福利；旅游基金；各种团建”,https://www.lagou.com/jobs/3347184.html?show=3643c2f146f54d7b861ea97e3eb4098a,5/21/2021
北京,海淀区,前端工程师,VUE前端开发工程师,1-3年,本科,8,16,顶点软件,上市公司,500-2000人,软件服务、咨询、IT技术服务、咨询,Web前端; 互联网金融,“六险一金、节日福利、部门旅游、年终奖金”,https://www.lagou.com/jobs/7934445.html?show=3643c2f146f54d7b861ea97e3eb4098a,5/21/2021
北京,朝阳区,前端工程师,高级前端开发工程师（急）,5-10年,本科,20,40,紫牛云,A轮,150-500人,软件服务、咨询、人工智能服务,工具类产品; 组件库,“福利好、双休”,https://www.lagou.com/jobs/8504713.html?show=3643c2f146f54d7b861ea97e3eb4098a,5/21/2021
